EmployeeID,FirstName,LastName,Gender,DepartmentID,JobLevelID,HireDate,TerminationDate
E0001,Name0,Surname0,F,D004,JL4,2024-03-01,2025-04-14
E0002,Name1,Surname1,F,D006,JL2,2020-12-06,
E0003,Name2,Surname2,F,D002,JL1,2023-03-06,2023-08-02
E0004,Name3,Surname3,F,D001,JL4,2019-04-29,
E0005,Name4,Surname4,M,D001,JL2,2024-05-23,
E0006,Name5,Surname5,M,D004,JL2,2025-08-06,
E0007,Name6,Surname6,F,D006,JL3,2025-08-06,2025-08-30
E0008,Name7,Surname7,M,D008,JL2,2022-11-24,
E0009,Name8,Surname8,M,D009,JL3,2022-12-17,
E0010,Name9,Surname9,M,D009,JL2,2024-12-28,
E0011,Name10,Surname10,M,D002,JL2,2023-12-30,
E0012,Name11,Surname11,F,D004,JL3,2019-09-09,
E0013,Name12,Surname12,M,D002,JL3,2021-07-23,2023-11-28
E0014,Name13,Surname13,M,D001,JL6,2022-01-23,
E0015,Name14,Surname14,M,D006,JL6,2020-04-29,2024-11-28
E0016,Name15,Surname15,F,D007,JL1,2025-02-01,
E0017,Name16,Surname16,M,D004,JL1,2025-08-22,2025-10-25
E0018,Name17,Surname17,M,D007,JL2,2021-04-10,
E0019,Name18,Surname18,M,D008,JL1,2023-01-17,
E0020,Name19,Surname19,M,D001,JL4,2023-06-06,2024-08-01
E0021,Name20,Surname20,F,D001,JL4,2024-10-20,
E0022,Name21,Surname21,F,D009,JL5,2019-04-10,2025-06-20
E0023,Name22,Surname22,M,D002,JL5,2022-07-22,
E0024,Name23,Surname23,F,D006,JL5,2024-04-18,2025-06-08
E0025,Name24,Surname24,F,D006,JL2,2024-02-04,
E0026,Name25,Surname25,F,D007,JL2,2021-05-20,
E0027,Name26,Surname26,F,D009,JL1,2020-04-25,
E0028,Name27,Surname27,M,D001,JL1,2020-07-16,
E0029,Name28,Surname28,F,D006,JL3,2024-05-27,2025-09-27
E0030,Name29,Surname29,F,D006,JL4,2025-01-09,
E0031,Name30,Surname30,F,D002,JL4,2019-07-14,
E0032,Name31,Surname31,M,D006,JL1,2025-10-17,2025-11-08
E0033,Name32,Surname32,M,D002,JL1,2025-05-18,
E0034,Name33,Surname33,M,D009,JL1,2023-03-06,
E0035,Name34,Surname34,F,D006,JL4,2019-06-23,
E0036,Name35,Surname35,F,D002,JL1,2021-02-24,
E0037,Name36,Surname36,M,D003,JL1,2023-11-21,
E0038,Name37,Surname37,F,D002,JL6,2019-08-11,2024-07-25
E0039,Name38,Surname38,F,D007,JL6,2022-06-10,
E0040,Name39,Surname39,F,D010,JL2,2020-01-16,2023-08-04
E0041,Name40,Surname40,F,D003,JL5,2023-04-06,
E0042,Name41,Surname41,F,D005,JL5,2024-01-09,
E0043,Name42,Surname42,F,D003,JL2,2022-04-09,2024-06-25
E0044,Name43,Surname43,M,D004,JL6,2024-08-04,2025-06-06
E0045,Name44,Surname44,F,D003,JL3,2022-03-23,
E0046,Name45,Surname45,F,D007,JL1,2019-05-28,
E0047,Name46,Surname46,F,D007,JL6,2025-12-26,2025-12-31
E0048,Name47,Surname47,M,D001,JL5,2024-05-05,2024-12-05
E0049,Name48,Surname48,M,D005,JL1,2024-08-14,
E0050,Name49,Surname49,F,D001,JL1,2020-10-10,
E0051,Name50,Surname50,M,D003,JL3,2023-04-17,
E0052,Name51,Surname51,M,D006,JL4,2021-07-28,2023-04-12
E0053,Name52,Surname52,F,D007,JL5,2020-12-30,
E0054,Name53,Surname53,F,D003,JL1,2024-06-25,
E0055,Name54,Surname54,F,D010,JL1,2025-11-25,
E0056,Name55,Surname55,F,D002,JL5,2023-11-20,
E0057,Name56,Surname56,M,D008,JL6,2024-07-24,
E0058,Name57,Surname57,F,D004,JL5,2025-11-07,
E0059,Name58,Surname58,M,D010,JL3,2020-05-16,
E0060,Name59,Surname59,F,D006,JL6,2019-07-07,
E0061,Name60,Surname60,F,D007,JL4,2024-04-16,2025-03-28
E0062,Name61,Surname61,M,D001,JL5,2025-09-01,
E0063,Name62,Surname62,F,D002,JL6,2023-06-15,
E0064,Name63,Surname63,F,D009,JL5,2025-10-21,
E0065,Name64,Surname64,F,D003,JL1,2020-03-19,2025-11-27
E0066,Name65,Surname65,F,D009,JL1,2024-03-18,
E0067,Name66,Surname66,M,D001,JL5,2022-02-11,
E0068,Name67,Surname67,M,D009,JL6,2019-08-26,
E0069,Name68,Surname68,M,D005,JL1,2025-02-04,
E0070,Name69,Surname69,M,D005,JL3,2025-03-23,
E0071,Name70,Surname70,F,D001,JL5,2020-08-11,2023-01-28
E0072,Name71,Surname71,M,D006,JL1,2023-03-22,
E0073,Name72,Surname72,F,D008,JL1,2024-09-24,2025-06-05
E0074,Name73,Surname73,F,D004,JL6,2020-11-07,
E0075,Name74,Surname74,F,D008,JL5,2021-03-28,2022-01-30
E0076,Name75,Surname75,F,D005,JL5,2020-03-26,
E0077,Name76,Surname76,F,D001,JL1,2025-01-31,2025-12-29
E0078,Name77,Surname77,M,D010,JL2,2024-09-12,
E0079,Name78,Surname78,M,D003,JL1,2020-10-29,2021-06-09
E0080,Name79,Surname79,F,D002,JL2,2022-07-18,2023-08-20
E0081,Name80,Surname80,M,D001,JL6,2022-11-05,2023-05-04
E0082,Name81,Surname81,M,D006,JL3,2023-03-25,
E0083,Name82,Surname82,M,D010,JL6,2021-11-26,
E0084,Name83,Surname83,M,D003,JL2,2019-07-05,
E0085,Name84,Surname84,M,D004,JL6,2025-05-07,2025-06-03
E0086,Name85,Surname85,F,D010,JL4,2025-05-17,2025-09-07
E0087,Name86,Surname86,M,D002,JL1,2019-09-18,2020-11-28
E0088,Name87,Surname87,M,D009,JL1,2021-11-08,2022-04-03
E0089,Name88,Surname88,F,D002,JL6,2020-04-16,2025-09-20
E0090,Name89,Surname89,F,D010,JL2,2021-08-21,
E0091,Name90,Surname90,M,D006,JL5,2019-07-23,
E0092,Name91,Surname91,F,D008,JL4,2019-10-26,2022-02-09
E0093,Name92,Surname92,M,D005,JL2,2022-10-20,
E0094,Name93,Surname93,F,D003,JL1,2019-06-28,2023-01-19
E0095,Name94,Surname94,M,D004,JL4,2019-10-08,
E0096,Name95,Surname95,F,D006,JL2,2020-07-16,
E0097,Name96,Surname96,M,D009,JL3,2021-08-18,
E0098,Name97,Surname97,M,D001,JL3,2022-03-10,2023-02-25
E0099,Name98,Surname98,M,D006,JL5,2021-03-15,2021-07-21
E0100,Name99,Surname99,F,D009,JL1,2025-12-12,2025-12-17
E0101,Name100,Surname100,F,D004,JL4,2025-09-09,2025-11-09
E0102,Name101,Surname101,F,D002,JL1,2022-06-06,
E0103,Name102,Surname102,M,D010,JL6,2020-06-26,
E0104,Name103,Surname103,M,D007,JL6,2024-07-07,
E0105,Name104,Surname104,F,D001,JL2,2019-07-27,
E0106,Name105,Surname105,F,D001,JL1,2019-01-24,
E0107,Name106,Surname106,M,D003,JL2,2023-01-19,
E0108,Name107,Surname107,M,D002,JL1,2022-05-15,
E0109,Name108,Surname108,M,D007,JL3,2024-12-03,
E0110,Name109,Surname109,F,D006,JL2,2025-11-17,
E0111,Name110,Surname110,M,D001,JL4,2025-04-19,
E0112,Name111,Surname111,M,D001,JL1,2025-01-14,
E0113,Name112,Surname112,F,D001,JL1,2022-02-18,2022-04-16
E0114,Name113,Surname113,F,D009,JL1,2021-08-03,
E0115,Name114,Surname114,F,D009,JL3,2019-03-22,
E0116,Name115,Surname115,M,D006,JL5,2022-10-14,
E0117,Name116,Surname116,M,D009,JL3,2021-06-08,
E0118,Name117,Surname117,F,D003,JL4,2019-08-02,2020-12-14
E0119,Name118,Surname118,M,D010,JL5,2023-06-11,2024-03-03
E0120,Name119,Surname119,M,D001,JL5,2019-09-30,
E0121,Name120,Surname120,F,D004,JL2,2025-04-01,
E0122,Name121,Surname121,F,D005,JL3,2020-09-21,2023-09-06
E0123,Name122,Surname122,F,D002,JL4,2025-05-21,
E0124,Name123,Surname123,F,D004,JL4,2020-08-03,
E0125,Name124,Surname124,M,D006,JL2,2019-09-26,
E0126,Name125,Surname125,M,D003,JL3,2025-01-13,
E0127,Name126,Surname126,F,D002,JL2,2025-05-19,
E0128,Name127,Surname127,F,D004,JL5,2025-08-13,
E0129,Name128,Surname128,M,D004,JL2,2025-07-09,
E0130,Name129,Surname129,M,D008,JL3,2020-06-13,
E0131,Name130,Surname130,F,D002,JL5,2025-04-02,
E0132,Name131,Surname131,M,D006,JL6,2025-06-08,2025-09-22
E0133,Name132,Surname132,F,D007,JL1,2025-05-13,
E0134,Name133,Surname133,F,D008,JL2,2019-07-04,
E0135,Name134,Surname134,F,D001,JL4,2024-06-04,
E0136,Name135,Surname135,F,D004,JL4,2023-12-23,
E0137,Name136,Surname136,M,D004,JL2,2020-06-03,2025-11-02
E0138,Name137,Surname137,F,D005,JL2,2025-10-13,2025-12-15
E0139,Name138,Surname138,M,D005,JL3,2022-09-03,
E0140,Name139,Surname139,F,D001,JL6,2022-08-27,2024-08-06
E0141,Name140,Surname140,M,D006,JL1,2019-07-06,
E0142,Name141,Surname141,F,D008,JL6,2025-09-01,2025-10-31
E0143,Name142,Surname142,M,D006,JL3,2024-03-22,
E0144,Name143,Surname143,F,D003,JL3,2021-11-05,2024-03-13
E0145,Name144,Surname144,M,D003,JL1,2022-07-15,
E0146,Name145,Surname145,M,D009,JL5,2024-09-24,
E0147,Name146,Surname146,F,D006,JL2,2025-04-27,
E0148,Name147,Surname147,M,D001,JL5,2025-10-20,2025-11-11
E0149,Name148,Surname148,F,D003,JL5,2021-03-07,
E0150,Name149,Surname149,F,D007,JL2,2025-05-18,2025-08-26
E0151,Name150,Surname150,F,D002,JL3,2025-02-03,
E0152,Name151,Surname151,M,D005,JL6,2021-10-14,
E0153,Name152,Surname152,F,D006,JL5,2020-08-07,2021-04-05
E0154,Name153,Surname153,F,D006,JL3,2024-07-03,
E0155,Name154,Surname154,M,D005,JL5,2025-07-30,
E0156,Name155,Surname155,F,D009,JL4,2024-10-28,
E0157,Name156,Surname156,M,D007,JL2,2019-11-24,
E0158,Name157,Surname157,F,D001,JL1,2021-08-24,
E0159,Name158,Surname158,F,D007,JL1,2022-08-30,
E0160,Name159,Surname159,F,D002,JL6,2024-02-24,
E0161,Name160,Surname160,M,D007,JL4,2025-03-08,
